2016-05-10 11:28:53 status unpacked mysql-common:all 5.5.49-0+deb8u1
2016-05-10 11:28:53 status unpacked mysql-common:all 5.5.49-0+deb8u1
2016-05-10 11:28:53 install libmysqlclient18:amd64 <none> 5.5.49-0+deb8u1
2016-05-10 11:28:53 status half-installed libmysqlclient18:amd64 5.5.49-0+deb8u1
2016-05-10 11:28:53 status unpacked libmysqlclient18:amd64 5.5.49-0+deb8u1
2016-05-10 11:28:53 status unpacked libmysqlclient18:amd64 5.5.49-0+deb8u1
2016-05-10 11:28:53 install libonig2:amd64 <none> 5.9.5-3.2
2016-05-10 11:28:53 status half-installed libonig2:amd64 5.9.5-3.2
2016-05-10 11:28:53 status unpacked libonig2:amd64 5.9.5-3.2
2016-05-10 11:28:53 status unpacked libonig2:amd64 5.9.5-3.2
2016-05-10 11:28:53 install libdbi-perl:amd64 <none> 1.631-3+b1
2016-05-10 11:28:53 status half-installed libdbi-perl:amd64 1.631-3+b1
2016-05-10 11:28:54 status unpacked libdbi-perl:amd64 1.631-3+b1
2016-05-10 11:28:54 status unpacked libdbi-perl:amd64 1.631-3+b1
2016-05-10 11:28:54 install libdbd-mysql-perl:amd64 <none> 4.028-2+b1
2016-05-10 11:28:54 status half-installed libdbd-mysql-perl:amd64 4.028-2+b1
2016-05-10 11:28:54 status unpacked libdbd-mysql-perl:amd64 4.028-2+b1
2016-05-10 11:28:54 status unpacked libdbd-mysql-perl:amd64 4.028-2+b1
2016-05-10 11:28:54 install libterm-readkey-perl:amd64 <none> 2.32-1+b1
2016-05-10 11:28:54 status half-installed libterm-readkey-perl:amd64 2.32-1+b1
2016-05-10 11:28:54 status unpacked libterm-readkey-perl:amd64 2.32-1+b1
2016-05-10 11:28:54 status unpacked libterm-readkey-perl:amd64 2.32-1+b1
2016-05-10 11:28:54 install mysql-client-5.5:amd64 <none> 5.5.49-0+deb8u1
2016-05-10 11:28:54 status half-installed mysql-client-5.5:amd64 5.5.49-0+deb8u1
2016-05-10 11:28:55 status unpacked mysql-client-5.5:amd64 5.5.49-0+deb8u1
2016-05-10 11:28:55 status unpacked mysql-client-5.5:amd64 5.5.49-0+deb8u1
2016-05-10 11:28:55 install mysql-server-core-5.5:amd64 <none> 5.5.49-0+deb8u1
2016-05-10 11:28:55 status half-installed mysql-server-core-5.5:amd64 5.5.49-0+deb8u1
2016-05-10 11:28:55 status unpacked mysql-server-core-5.5:amd64 5.5.49-0+deb8u1
2016-05-10 11:28:55 status unpacked mysql-server-core-5.5:amd64 5.5.49-0+deb8u1
2016-05-10 11:28:55 install psmisc:amd64 <none> 22.21-2
2016-05-10 11:28:55 status half-installed psmisc:amd64 22.21-2
2016-05-10 11:28:55 status unpacked psmisc:amd64 22.21-2
2016-05-10 11:28:55 status unpacked psmisc:amd64 22.21-2
2016-05-10 11:28:55 trigproc systemd:amd64 215-17+deb8u4 <none>
2016-05-10 11:28:55 status half-configured systemd:amd64 215-17+deb8u4
2016-05-10 11:28:55 status installed systemd:amd64 215-17+deb8u4
2016-05-10 11:28:56 startup packages configure
2016-05-10 11:28:56 configure mysql-common:all 5.5.49-0+deb8u1 <none>
2016-05-10 11:28:56 status unpacked mysql-common:all 5.5.49-0+deb8u1
2016-05-10 11:28:56 status unpacked mysql-common:all 5.5.49-0+deb8u1
2016-05-10 11:28:56 status unpacked mysql-common:all 5.5.49-0+deb8u1
2016-05-10 11:28:56 status half-configured mysql-common:all 5.5.49-0+deb8u1
2016-05-10 11:28:56 status installed mysql-common:all 5.5.49-0+deb8u1
2016-05-10 11:28:56 startup archives unpack
2016-05-10 11:28:56 install mysql-server-5.5:amd64 <none> 5.5.49-0+deb8u1
2016-05-10 11:28:56 status half-installed mysql-server-5.5:amd64 5.5.49-0+deb8u1
2016-05-10 11:29:11 status triggers-pending systemd:amd64 215-17+deb8u4
2016-05-10 11:29:11 status unpacked mysql-server-5.5:amd64 5.5.49-0+deb8u1
2016-05-10 11:29:11 status unpacked mysql-server-5.5:amd64 5.5.49-0+deb8u1
2016-05-10 11:29:11 install sgml-base:all <none> 1.26+nmu4
2016-05-10 11:29:11 status half-installed sgml-base:all 1.26+nmu4
2016-05-10 11:29:11 status unpacked sgml-base:all 1.26+nmu4
2016-05-10 11:29:11 status unpacked sgml-base:all 1.26+nmu4
2016-05-10 11:29:11 install file:amd64 <none> 1:5.22+15-2+deb8u1
2016-05-10 11:29:11 status half-installed file:amd64 1:5.22+15-2+deb8u1
2016-05-10 11:29:12 status unpacked file:amd64 1:5.22+15-2+deb8u1
2016-05-10 11:29:12 status unpacked file:amd64 1:5.22+15-2+deb8u1
2016-05-10 11:29:12 install krb5-locales:all <none> 1.12.1+dfsg-19+deb8u2
2016-05-10 11:29:12 status half-installed krb5-locales:all 1.12.1+dfsg-19+deb8u2
2016-05-10 11:29:12 status unpacked krb5-locales:all 1.12.1+dfsg-19+deb8u2
2016-05-10 11:29:12 status unpacked krb5-locales:all 1.12.1+dfsg-19+deb8u2
2016-05-10 11:29:12 install libperl4-corelibs-perl:all <none> 0.003-1
2016-05-10 11:29:12 status half-installed libperl4-corelibs-perl:all 0.003-1
2016-05-10 11:29:12 status unpacked libperl4-corelibs-perl:all 0.003-1
2016-05-10 11:29:12 status unpacked libperl4-corelibs-perl:all 0.003-1
2016-05-10 11:29:12 install lsof:amd64 <none> 4.86+dfsg-1
2016-05-10 11:29:12 status half-installed lsof:amd64 4.86+dfsg-1
2016-05-10 11:29:12 status unpacked lsof:amd64 4.86+dfsg-1
2016-05-10 11:29:12 status unpacked lsof:amd64 4.86+dfsg-1
2016-05-10 11:29:12 install ucf:all <none> 3.0030
2016-05-10 11:29:12 status half-installed ucf:all 3.0030
2016-05-10 11:29:12 status unpacked ucf:all 3.0030
2016-05-10 11:29:12 status unpacked ucf:all 3.0030
2016-05-10 11:29:12 install libalgorithm-c3-perl:all <none> 0.09-1
2016-05-10 11:29:12 status half-installed libalgorithm-c3-perl:all 0.09-1
2016-05-10 11:29:12 status unpacked libalgorithm-c3-perl:all 0.09-1
2016-05-10 11:29:12 status unpacked libalgorithm-c3-perl:all 0.09-1
2016-05-10 11:29:12 install libqdbm14:amd64 <none> 1.8.78-5+b1
2016-05-10 11:29:12 status half-installed libqdbm14:amd64 1.8.78-5+b1
2016-05-10 11:29:12 status unpacked libqdbm14:amd64 1.8.78-5+b1
2016-05-10 11:29:13 status unpacked libqdbm14:amd64 1.8.78-5+b1
2016-05-10 11:29:13 install php5-common:amd64 <none> 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:13 status half-installed php5-common:amd64 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:13 status unpacked php5-common:amd64 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:13 status unpacked php5-common:amd64 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:13 install php5-json:amd64 <none> 1.3.6-1
2016-05-10 11:29:13 status half-installed php5-json:amd64 1.3.6-1
2016-05-10 11:29:13 status unpacked php5-json:amd64 1.3.6-1
2016-05-10 11:29:13 status unpacked php5-json:amd64 1.3.6-1
2016-05-10 11:29:13 install php5-cli:amd64 <none> 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:13 status half-installed php5-cli:amd64 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:13 status unpacked php5-cli:amd64 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:13 status unpacked php5-cli:amd64 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:14 install libapache2-mod-php5:amd64 <none> 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:14 status half-installed libapache2-mod-php5:amd64 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:14 status unpacked libapache2-mod-php5:amd64 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:14 status unpacked libapache2-mod-php5:amd64 5.6.20+dfsg-0+deb8u1
2016-05-10 11:29:14 install libarchive-extract-perl:all <none> 0.72-1
